#{"t_start": 1643265592.1645708, "env_id": "Pendulum-v0"}
r,l,t
-14.957982,5,0.130572
-0.687108,5,0.137127
-4.477668,5,0.142177
-20.217328,5,0.148273
-0.983929,5,0.156238
-36.920444,5,0.162594
-9.405715,5,0.167782
-0.338658,5,0.17499
-12.527886,5,0.184462
-1.204966,5,0.189458
-5.138749,5,0.194082
-24.002413,5,0.198515
-24.642117,5,0.20293
-13.350663,5,0.207313
-0.230612,5,0.211588
-40.817214,5,0.215863
-2.935223,5,0.220154
-0.210246,5,0.227624
-42.431911,5,0.235584
-0.972434,5,0.240253
-1.295449,5,0.244799
-34.343701,5,0.249219
-27.08722,5,0.253689
-5.878423,5,0.258199
-0.193185,5,0.262641
-40.23975,5,0.267064
-0.437217,5,0.272077
-2.824545,5,0.280369
-47.515478,5,0.286474
-5.791704,5,0.290897
-16.695583,5,0.295019
-48.802876,5,0.29872
-2.039585,5,0.302421
-32.57674,5,0.306085
-13.235537,5,0.309742
-42.330523,5,0.313394
-0.599483,5,0.317048
-1.310374,5,0.32075
-34.594977,5,0.327581
-0.170677,5,0.334105
-47.990195,5,0.337962
-13.719672,5,0.341708
-11.752687,5,0.345456
-39.485666,5,0.34931
-5.77949,5,0.353046
-34.657672,5,0.356849
-41.429058,5,0.360785
-47.790871,5,0.364501
-8.152233,5,0.368193
-0.066978,5,0.372782
-2.785683,5,0.379028
-0.666098,5,0.384958
-37.204037,5,0.388874
-3.895667,5,0.392848
-1.061287,5,0.39718
-26.276797,5,0.402055
-16.165368,5,0.406575
-25.023673,5,0.41104
-19.15304,5,0.415645
-3.670486,5,0.420144
-12.333524,5,0.427236
-9.192376,5,0.434816
-24.09485,5,0.439328
-15.765776,5,0.443775
-37.172031,5,0.448246
-0.081447,5,0.452552
-20.13039,5,0.456446
-18.221106,5,0.460193
-1.181628,5,0.463884
-24.699573,5,0.467575
-47.031483,5,0.471732
-29.34884,5,0.478272
-17.313204,5,0.482732
-35.798974,5,0.486675
-10.541752,5,0.490445
-29.087007,5,0.494258
-36.296211,5,0.498023
-34.698574,5,0.502084
-20.161619,5,0.505997
-30.962978,5,0.509863
-26.432306,5,0.513541
-10.549823,5,0.517539
-26.749644,5,0.522316
-8.635268,5,0.530169
-42.036912,5,0.535625
-11.959902,5,0.540297
-16.749286,5,0.544834
-24.247778,5,0.54925
-22.222084,5,0.553627
-1.531758,5,0.557652
-2.984993,5,0.561374
-18.361527,5,0.565022
-13.678429,5,0.568695
-23.226795,5,0.573693
-20.352137,5,0.580642
-48.111866,5,0.587072
-2.268506,5,0.591342
-47.703874,5,0.596041
-27.45251,5,0.600672
-30.169745,5,0.605295
-4.502689,5,0.609888
-7.082038,5,0.614484
-4.719802,5,0.618967
-12.40305,5,0.626128
-1.610507,5,0.634612
-14.306457,5,0.639223
-14.074832,5,0.643768
-19.144183,5,0.648322
-47.069558,5,0.652586
-38.715499,5,0.656411
-29.69315,5,0.660206
-2.671022,5,0.663955
-11.666998,5,0.667723
-9.008032,5,0.672714
-0.250784,5,0.680268
-1.322841,5,0.686347
-34.518271,5,0.691045
-14.218303,5,0.695589
-0.621361,5,0.6998
-7.814841,5,0.703598
-1.60622,5,0.707316
-0.027449,5,0.711078
-8.978163,5,0.714798
-18.960121,5,0.718517
-9.715314,5,0.723587
-2.807617,5,0.731587
-5.128152,5,0.736742
-8.565735,5,0.740671
-19.321815,5,0.744595
-32.672027,5,0.748453
-47.393873,5,0.752471
-0.083468,5,0.756279
-0.163357,5,0.760142
-0.39128,5,0.763913
-22.800863,5,0.767688
-43.96242,5,0.772752
-22.332967,5,0.780037
-34.396214,5,0.785968
-2.204848,5,0.789813
-1.986864,5,0.793598
-46.321069,5,0.797395
-22.187462,5,0.801181
-17.585877,5,0.804981
-9.107269,5,0.808762
-17.391583,5,0.812566
-34.504478,5,0.816363
-21.472199,5,0.820164
-47.666737,5,0.827408
-1.295378,5,0.834945
-1.991255,5,0.840247
-18.648989,5,0.844294
-9.121705,5,0.848162
-24.571892,5,0.851888
-16.704793,5,0.855755
-25.353685,5,0.859504
-15.76145,5,0.863234
-3.720714,5,0.866967
-39.91998,5,0.870807
-6.058915,5,0.878265
-10.88471,5,0.884841
-10.716729,5,0.888799
-3.104644,5,0.892853
-38.18744,5,0.896743
-40.855422,5,0.900545
-25.425361,5,0.904626
-1.791824,5,0.908662
-0.520884,5,0.912579
-12.765864,5,0.916426
-33.501442,5,0.920275
-41.39065,5,0.927471
-48.019067,5,0.934814
-17.650965,5,0.940079
-22.83709,5,0.944378
-34.719554,5,0.948211
-0.463526,5,0.952046
-26.822025,5,0.955878
-0.53653,5,0.959759
-18.37667,5,0.963663
-13.323399,5,0.967502
-1.69177,5,0.971954
-21.318299,5,0.979802
-6.189499,5,0.986066
-7.638632,5,0.99012
-34.716477,5,0.994864
-2.83621,5,0.999048
-24.089171,5,1.002964
-22.8506,5,1.006968
-2.731613,5,1.010951
-8.946053,5,1.014897
-3.053526,5,1.018763
-18.344248,5,1.024495
-21.948413,5,1.032287
-16.05168,5,1.037338
-3.724617,5,1.041223
-13.76431,5,1.04511
-23.880891,5,1.05012
-23.349552,5,1.054646
-10.83797,5,1.059892
-28.143267,5,1.064638
-43.27088,5,1.069394
-28.588952,5,1.103713
